protein	frequency
NP_000266.2	368
NP_000267.2	115
NP_000268.1	189
NP_000269.3	109
NP_000271.1	62
NP_000272.1	38
NP_000273.2	244
NP_000274.2	405
NP_000275.1	47
NP_000276.2	224
NP_000277.1	125
NP_000278.3	321
NP_000279.1	94
NP_000280.1	196
NP_000281.2	133
NP_000282.1	88
NP_000283.1	253
NP_000284.1	383
NP_000285.1	148
NP_000286.3	177
NP_000287.3	1783
NP_000288.1	283
NP_000289.1	210
NP_000290.2	310
NP_000291.1	42
NP_000292.1	261
NP_000293.2	301
NP_000294.1	136
NP_000295.1	43
NP_000296.2	112
NP_000297.1	100
NP_000298.3	38
NP_000299.2	171
NP_000300.1	139
NP_000301.1	112
NP_000302.1	78
NP_000303.1	152
NP_000304.2	200
NP_000305.3	33
NP_000306.1	30
NP_000307.1	183
NP_000308.1	40
NP_000309.1	112
NP_000310.2	213
NP_000311.2	93
NP_000312.2	179
NP_000313.2	121
NP_000315.2	107
NP_000316.2	70
NP_000317.1	116
NP_000318.1	167
NP_000319.1	145
NP_000320.1	203
NP_000321.1	40
NP_000322.2	34
NP_000323.2	273
NP_000324.1	333
NP_000325.4	657
NP_000326.2	645
NP_000327.2	261
NP_000328.2	82
NP_000329.2	322
NP_000330.2	454
NP_000331.1	161
NP_000332.2	383
NP_000333.1	292
NP_000334.1	187
NP_000336.1	30
NP_000337.1	131
NP_000338.3	805
NP_000339.2	106
NP_000340.2	111
NP_000341.2	916
NP_000342.2	125
NP_000343.2	477
NP_000344.1	136
NP_000345.2	103
NP_000346.2	225
NP_000347.2	479
NP_000349.1	266
NP_000350.1	327
NP_000351.2	198
NP_000352.1	169
NP_000353.1	35
NP_000354.4	63
NP_000355.2	83
NP_000356.1	66
NP_000357.3	36
NP_000358.1	82
NP_000359.1	283
NP_000360.2	275
NP_000361.1	81
NP_000362.1	45
NP_000363.1	268
NP_000364.1	146
NP_000365.3	115
NP_000366.1	88
NP_000367.1	131
NP_000368.1	70
NP_000369.3	108
NP_000370.2	580
NP_000371.1	102
NP_000372.1	99
NP_000373.1	162
NP_000374.1	235
NP_000375.2	1693
NP_000377.1	134
NP_000378.1	97
NP_000379.2	264
NP_000380.1	86
NP_000381.1	112
NP_000382.3	206
NP_000383.1	632
NP_000384.2	408
NP_000385.1	78
NP_000386.1	351
NP_000387.1	90
NP_000388.2	73
NP_000389.1	132
NP_000390.2	99
NP_000391.1	326
NP_000392.3	258
NP_000393.4	105
NP_000394.2	137
NP_000395.2	225
NP_000396.2	78
NP_000397.1	114
NP_000398.1	15
NP_000399.3	236
NP_000400.2	85
NP_000401.1	126
NP_000402.3	283
NP_000403.1	227
NP_000404.2	163
NP_000405.1	274
NP_000406.1	29
NP_000407.1	167
NP_000408.1	97
NP_000409.1	317
NP_000410.2	308
NP_000411.1	319
NP_000412.3	166
NP_000413.1	191
NP_000414.2	255
NP_000415.2	235
NP_000416.1	234
NP_000417.2	1177
NP_000418.2	68
NP_000419.1	714
NP_000420.1	101
NP_000421.1	52
NP_000422.1	127
NP_000423.2	51
NP_000424.2	158
NP_000426.2	634
NP_000427.1	108
NP_000428.2	169
NP_000429.2	55
NP_000430.3	228
NP_000431.2	346
NP_000432.1	348
NP_000433.4	12
NP_000434.1	367
NP_000435.3	129
NP_000436.2	2424
NP_000437.3	116
NP_000438.2	164
NP_000439.1	356
NP_000440.1	219
NP_000441.2	219
NP_000442.1	80
NP_000443.1	219
NP_000444.1	221
NP_000445.1	23
NP_000446.1	122
NP_000447.2	211
NP_000448.3	155
NP_000449.1	133
NP_000450.2	307
NP_000451.1	119
NP_000452.2	93
NP_000453.2	120
NP_000454.1	216
NP_000456.2	297
NP_000457.1	386
NP_000465.1	24
NP_000466.2	92
NP_000467.1	69
NP_000469.3	197
NP_000471.1	292
NP_000472.2	163
NP_000474.2	32
NP_000475.1	225
NP_000476.1	78
NP_000477.1	91
NP_000478.3	198
NP_000479.1	129
NP_000480.3	345
NP_000481.2	32
NP_000482.3	76
NP_000483.3	719
NP_000484.2	308
NP_000485.3	577
NP_000486.1	280
NP_000487.1	61
NP_000488.3	236
NP_000489.3	197
NP_000490.1	264
NP_000491.4	59
NP_000492.2	253
NP_000493.1	369
NP_000494.2	176
NP_000495.1	157
NP_000496.2	197
NP_000497.1	168
NP_000498.2	118
NP_000499.1	335
NP_000500.2	106
NP_000501.1	41
NP_000502.4	191
NP_000503.1	209
NP_000504.1	1
NP_000505.1	64
NP_000506.2	99
NP_000507.1	24
NP_000508.1	13
NP_000509.1	65
NP_000510.1	61
NP_000511.2	193
NP_000512.1	180
NP_000513.2	85
NP_000514.2	101
NP_000515.2	133
NP_000517.2	158
NP_000518.1	367
NP_000519.2	362
NP_000520.1	118
NP_000521.2	68
NP_000522.3	56
NP_000523.2	228
NP_000524.3	19
NP_000525.1	338
NP_000526.2	299
NP_000527.2	183
NP_000528.1	133
NP_000529.1	41
NP_000530.1	149
NP_000531.2	1723
NP_000532.2	144
NP_000533.3	123
NP_000534.3	265
NP_000535.3	195
NP_000536.5	200
NP_000537.3	124
NP_000538.3	377
NP_000539.2	673
NP_000540.2	40
NP_000541.1	299
NP_000542.1	78
NP_000543.2	983
NP_000544.2	509
NP_000545.1	123
NP_000546.2	46
NP_000548.2	163
NP_000550.2	12
NP_000551.1	65
NP_000552.2	36
NP_000553.1	270
NP_000555.2	158
NP_000556.1	167
NP_000557.1	12
NP_000558.2	94
NP_000561.3	52
NP_000563.1	57
NP_000564.2	472
NP_000565.1	130
NP_000566.3	79
NP_000567.1	64
NP_000568.1	66
NP_000569.3	253
NP_000570.1	175
NP_000573.1	112
NP_000574.2	151
NP_000575.1	35
NP_000576.1	55
NP_000577.2	25
NP_000578.2	333
NP_000579.2	64
NP_000580.1	50
NP_000581.1	39
NP_000582.1	152
NP_000584.2	218
NP_000585.2	58
NP_000586.2	36
NP_000587.1	85
NP_000588.2	60
NP_000589.2	65
NP_000590.1	74
NP_000591.1	66
NP_000592.3	171
NP_000593.1	149
NP_000594.2	416
NP_000596.2	82
NP_000597.2	107
NP_000598.2	58
NP_000599.1	65
NP_000600.1	37
NP_000601.3	253
NP_000602.1	40
NP_000603.1	57
NP_000604.1	171
NP_000605.1	100
NP_000606.3	198
NP_000607.1	142
NP_000608.1	140
NP_000609.1	33
NP_000610.2	34
NP_000611.1	379
NP_000612.1	114
NP_000614.1	142
NP_000615.3	205
NP_000616.3	362
NP_000618.3	474
NP_000619.3	91
NP_000620.2	198
NP_000622.2	145
NP_000623.2	368
NP_000624.2	67
NP_000625.1	160
NP_000626.2	194
NP_000627.2	57
NP_000628.2	141
NP_000629.3	201
NP_000630.1	86
NP_000631.1	79
NP_000632.1	64
NP_000633.2	580
NP_000634.2	580
NP_000635.2	580
NP_000636.2	569
NP_000637.2	570
NP_000642.3	474
NP_000646.2	109
NP_000648.2	59
NP_000653.3	133
NP_000654.2	168
NP_000656.1	143
NP_000657.1	163
NP_000658.1	133
NP_000659.2	132
NP_000660.1	115
NP_000661.2	144
NP_000662.3	103
NP_000663.1	120
NP_000664.2	165
NP_000665.1	90
NP_000666.2	130
NP_000667.1	127
NP_000668.1	123
NP_000669.1	169
NP_000670.1	112
NP_000671.2	198
NP_000672.3	118
NP_000673.2	182
NP_000674.2	75
NP_000675.1	119
NP_000676.1	122
NP_000677.2	86
NP_000678.1	137
NP_000679.1	213
NP_000680.2	117
NP_000681.2	172
NP_000682.3	195
NP_000683.3	259
NP_000684.2	127
NP_000685.1	170
NP_000686.2	188
NP_000687.3	195
NP_000688.2	223
NP_000689.1	252
NP_000690.1	39
NP_000691.1	129
NP_000692.2	90
NP_000693.1	185
NP_000695.2	297
NP_000696.1	136
NP_000697.1	154
NP_000698.1	221
NP_000700.1	166
NP_000701.2	165
NP_000703.2	98
NP_000704.1	88
NP_000705.2	48
NP_000706.1	178
NP_000707.1	84
NP_000709.1	551
NP_000710.5	402
NP_000711.1	485
NP_000712.2	444
NP_000713.2	196
NP_000714.3	157
NP_000715.2	229
NP_000716.2	148
NP_000718.1	97
NP_000719.1	54
NP_000720.1	36
NP_000721.1	179
NP_000723.1	59
NP_000724.1	72
NP_000725.1	64
NP_000726.1	18
NP_000729.2	95
NP_000730.1	98
NP_000731.1	155
NP_000732.2	116
NP_000733.2	232
NP_000734.2	171
NP_000735.1	256
NP_000736.2	159
NP_000737.1	37
NP_000738.2	180
NP_000739.1	114
NP_000740.1	156
NP_000741.1	194
NP_000742.1	199
NP_000745.1	107
NP_000746.2	243
NP_000747.1	30
NP_000748.3	191
NP_000749.2	42
NP_000750.1	59
NP_000751.1	262
NP_000752.2	263
NP_000753.3	221
NP_000755.2	223
NP_000756.3	178
NP_000757.2	242
NP_000758.1	236
NP_000760.1	261
NP_000761.3	204
NP_000762.2	237
NP_000763.1	227
NP_000764.1	176
NP_000765.2	198
NP_000766.2	194
NP_000768.1	162
NP_000769.2	214
NP_000770.2	226
NP_000771.2	184
NP_000772.2	187
NP_000773.2	237
NP_000774.2	175
NP_000775.1	229
NP_000776.1	172
NP_000777.1	155
NP_000778.3	319
NP_000779.1	63
NP_000780.1	560
NP_000781.1	166
NP_000782.1	28
NP_000783.2	84
NP_000784.2	80
NP_000785.1	103
NP_000786.1	104
NP_000787.2	122
NP_000788.2	176
NP_000789.1	253
NP_000790.2	66
NP_000791.1	58
NP_000792.1	5
NP_000793.1	73
NP_000794.3	104
NP_000795.2	105
NP_000796.1	46
NP_000797.2	58
NP_000798.2	56
NP_000799.1	59
NP_000800.2	130
NP_000801.1	82
NP_000802.2	178
NP_000803.2	92
NP_000804.1	75
NP_000805.1	54
NP_000806.2	114
NP_000807.2	73
NP_000808.2	137
NP_000809.1	165
NP_000810.1	334
NP_000811.1	247
NP_000812.2	259
NP_000814.2	153
NP_000815.1	142
NP_000817.2	120
NP_000818.2	180
NP_000819.3	87
NP_000820.3	165
NP_000821.1	290
NP_000822.2	246
NP_000823.4	83
NP_000824.1	383
NP_000825.2	249
NP_000826.2	355
NP_000827.2	144
NP_000828.1	109
NP_000830.2	282
NP_000831.2	208
NP_000832.1	295
NP_000833.1	232
NP_000834.2	363
NP_000835.1	248
NP_000836.2	313
NP_000837.3	97
NP_000838.3	92
NP_000839.1	53
NP_000840.2	81
NP_000841.1	68
NP_000842.2	92
NP_000843.1	97
NP_000844.2	54
NP_000845.2	2
NP_000846.1	154
NP_000847.2	253
NP_000848.1	114
NP_000849.1	84
NP_000850.1	146
NP_000851.2	92
NP_000852.1	160
NP_000853.1	175
NP_000854.1	111
NP_000855.1	155
NP_000856.1	108
NP_000857.1	102
NP_000858.3	179
NP_000859.1	93
NP_000860.2	219
NP_000861.1	122
NP_000862.1	191
NP_000863.1	139
NP_000864.2	101
NP_000865.2	125
NP_000866.1	400
NP_000867.2	834
NP_000868.1	161
NP_000869.1	200
NP_000870.1	50
NP_000871.1	45
NP_000873.2	60
NP_000874.2	159
NP_000875.2	111
NP_000876.3	272
NP_000878.2	411
NP_000879.2	337
NP_000880.1	251
NP_000881.3	134
NP_000882.1	84
NP_000883.2	234
NP_000884.1	175
NP_000885.1	81
NP_000886.1	163
NP_000887.2	257
NP_000889.3	73
NP_000890.1	72
NP_000891.2	47
NP_000892.2	254
NP_000893.2	261
NP_000894.1	81
NP_000895.2	100
NP_000896.1	25
NP_000897.3	241
NP_000899.1	146
NP_000900.1	72
NP_000901.1	110
NP_000902.3	111
NP_000903.2	143
NP_000904.1	140
NP_000905.3	186
NP_000906.1	39
NP_000907.2	139
NP_000908.2	120
NP_000909.2	146
NP_000910.2	294
NP_000911.2	338
NP_000912.3	355
NP_000913.2	382
NP_000915.1	144
NP_000916.2	86
NP_000917.3	270
NP_000918.2	393
NP_000919.1	76
NP_000920.1	53
NP_000921.1	225
NP_000923.1	318
NP_000924.3	248
NP_000925.2	141
NP_000926.2	228
NP_000928.1	299
NP_000929.1	125
NP_000930.1	119
NP_000931.1	127
NP_000932.3	296
NP_000933.1	78
NP_000934.1	82
NP_000935.1	61
NP_000936.1	5
NP_000937.1	85
NP_000938.2	158
NP_000939.1	70
NP_000940.1	204
NP_000941.1	47
NP_000942.1	69
NP_000943.1	110
NP_000944.1	156
NP_000945.3	71
NP_000946.2	66
NP_000947.2	115
NP_000949.1	116
NP_000950.1	109
NP_000951.1	155
NP_000952.1	224
NP_000953.2	228
NP_000954.1	114
NP_000955.1	88
NP_000956.2	77
NP_000957.1	83
NP_000958.1	96
NP_000959.2	139
NP_000960.2	70
NP_000961.2	49
NP_000962.2	46
NP_000963.1	68
NP_000964.1	67
NP_000966.2	34
NP_000967.1	36
NP_000968.2	75
NP_000969.1	24
NP_000970.1	56
NP_000971.1	41
NP_000972.1	41
NP_000973.2	18
NP_000974.1	12
NP_000975.2	29
NP_000976.1	33
NP_000977.1	28
NP_000978.1	26
NP_000979.1	48
NP_000980.1	12
NP_000981.1	28
NP_000982.2	51
NP_000983.1	26
NP_000984.1	21
NP_000985.1	33
NP_000986.2	22
NP_000987.2	22
NP_000988.1	27
NP_000989.1	27
NP_000990.1	4
NP_000991.1	2
NP_000992.1	18
NP_000993.1	62
NP_000994.1	34
NP_000995.1	46
NP_000996.2	25
NP_000997.1	34
NP_000998.1	19
NP_000999.1	13
NP_001000.2	29
NP_001001.2	65
NP_001001132.1	297
NP_001001290.1	200
NP_001001317.1	99
NP_001001323.1	143
NP_001001325.1	21
NP_001001329.1	186
NP_001001330.1	55
NP_001001331.1	266
NP_001001342.1	15
NP_001001343.2	107
NP_001001344.1	251
NP_001001346.1	95
NP_001001349.1	63
NP_001001389.1	240
NP_001001390.1	158
NP_001001391.1	112
NP_001001392.1	39
NP_001001394.1	99
NP_001001395.1	18
NP_001001396.1	327
NP_001001410.1	149
NP_001001411.2	230
NP_001001412.3	189
NP_001001414.1	87
NP_001001415.2	285
NP_001001417.6	4
NP_001001418.5	2
NP_001001419.1	78
NP_001001420.1	78
NP_001001430.1	82
NP_001001431.1	80
NP_001001432.1	79
NP_001001433.1	114
NP_001001436.1	27
NP_001001438.1	269
NP_001001479.1	127
NP_001001480.2	97
NP_001001481.2	25
NP_001001483.1	141
NP_001001484.1	156
NP_001001485.1	146
NP_001001486.1	160
NP_001001487.1	158
NP_001001502.1	28
NP_001001503.1	47
NP_001001520.1	172
NP_001001521.1	113
NP_001001522.1	73
NP_001001523.1	121
NP_001001524.2	137
NP_001001547.1	376
NP_001001548.1	374
NP_001001549.1	159
NP_001001550.1	126
NP_001001551.2	59
NP_001001552.3	44
NP_001001555.1	126
NP_001001556.1	176
NP_001001557.1	117
NP_001001560.1	188
NP_001001567.1	172
NP_001001568.1	143
NP_001001569.1	142
NP_001001570.1	173
NP_001001571.1	156
NP_001001572.1	122
NP_001001573.1	122
NP_001001574.1	159
NP_001001575.1	132
NP_001001576.1	121
NP_001001577.1	145
NP_001001578.1	161
NP_001001579.1	122
NP_001001580.1	121
NP_001001581.1	174
NP_001001582.1	187
NP_001001583.1	190
NP_001001584.1	122
NP_001001585.1	122
NP_001001653.1	49
NP_001001655.1	113
NP_001001656.1	146
NP_001001657.1	134
NP_001001658.1	107
NP_001001659.1	138
NP_001001661.1	311
NP_001001662.1	240
NP_001001663.1	46
NP_001001664.1	114
NP_001001665.3	142
NP_001001666.1	93
NP_001001667.1	112
NP_001001668.3	305
NP_001001669.2	289
NP_001001670.1	782
NP_001001671.3	373
NP_001001673.2	92
NP_001001674.1	145
NP_001001676.1	71
NP_001001683.1	35
NP_001001694.2	123
NP_001001701.2	26
NP_001001709.1	44
NP_001001710.1	242
NP_001001711.1	154
NP_001001712.2	79
NP_001001713.1	39
NP_001001715.2	57
NP_001001732.2	107
NP_001001734.1	53
NP_001001740.1	119
NP_001001786.2	46
NP_001001788.2	108
NP_001001790.1	17
NP_001001791.2	41
NP_001001794.3	175
NP_001001795.1	37
NP_001001802.2	5
NP_001001821.1	36
NP_001001824.1	94
NP_001001827.1	20
NP_001001850.1	122
NP_001001851.1	290
NP_001001852.2	80
NP_001001872.2	301
NP_001001874.1	67
NP_001001875.1	64
NP_001001888.3	26
NP_001001890.1	117
NP_001001891.2	462
NP_001001894.1	693
NP_001001895.1	259
NP_001001913.1	130
NP_001001914.1	122
NP_001001915.1	130
NP_001001916.2	167
NP_001001917.2	130
NP_001001918.1	116
NP_001001919.1	138
NP_001001920.1	301
NP_001001921.1	153
NP_001001922.2	123
NP_001001923.1	158
NP_001001924.1	734
NP_001001925.1	696
NP_001001928.1	124
NP_001001931.1	262
NP_001001933.1	78
NP_001001935.1	115
NP_001001936.1	296
NP_001001937.1	143
NP_001001938.1	61
NP_001001952.1	133
NP_001001953.1	109
NP_001001954.1	137
NP_001001955.2	189
NP_001001956.1	114
NP_001001957.2	164
NP_001001958.1	116
NP_001001959.1	144
NP_001001960.1	156
NP_001001961.1	150
NP_001001963.1	107
NP_001001964.1	158
NP_001001965.1	147
NP_001001966.1	107
NP_001001967.1	133
NP_001001968.1	169
NP_001001971.1	130
NP_001001973.1	80
NP_001001974.1	127
NP_001001975.1	53
NP_001001976.1	169
NP_001001991.1	318
NP_001001992.1	264
NP_001001994.1	33
NP_001001995.1	41
NP_001001996.1	43
NP_001001998.1	301
NP_001002.1	28
NP_001002000.1	125
NP_001002001.1	125
NP_001002002.1	125
NP_001002006.1	255
NP_001002009.1	88
NP_001002010.1	105
NP_001002017.1	45
NP_001002018.1	57
NP_001002019.1	175
NP_001002020.1	175
NP_001002021.2	331
NP_001002026.1	88
NP_001002027.1	31
NP_001002030.1	95
NP_001002031.1	39
NP_001002032.1	58
NP_001002033.1	37
NP_001002034.2	102
NP_001002035.1	27
NP_001002036.3	193
NP_001002231.1	91
NP_001002235.1	177
NP_001002236.1	177
NP_001002243.1	274
NP_001002244.1	60
NP_001002245.1	10
NP_001002246.1	10
NP_001002247.1	10
NP_001002248.1	10
NP_001002249.1	10
NP_001002251.2	127
NP_001002252.2	124
NP_001002254.1	56
NP_001002255.1	40
NP_001002257.1	110
NP_001002258.1	34
NP_001002259.1	367
NP_001002261.1	133
NP_001002262.1	131
NP_001002264.1	169
NP_001002266.1	93
NP_001002269.1	71
NP_001002273.1	40
NP_001002274.1	41
NP_001002275.1	43
NP_001002292.3	197
NP_001002294.1	222
NP_001002295.1	106
NP_001002296.1	22
NP_001002755.1	80
NP_001002756.1	24
NP_001002759.1	93
NP_001002762.2	154
NP_001002796.1	198
NP_001002800.1	387
NP_001002810.1	27
NP_001002811.2	610
NP_001002812.2	403
NP_001002814.2	473
NP_001002836.2	70
NP_001002837.1	215
NP_001002838.1	265
NP_001002841.1	72
NP_001002843.1	263
NP_001002844.1	46
NP_001002857.1	120
NP_001002858.1	123
NP_001002860.2	373
NP_001002862.1	88
NP_001002876.1	27
NP_001002877.1	188
NP_001002878.1	188
NP_001002879.1	188
NP_001002880.2	55
NP_001002901.1	168
NP_001002905.1	101
NP_001002907.1	135
NP_001002909.1	469
NP_001002911.1	107
NP_001002912.4	653
NP_001002913.1	90
NP_001002914.1	72
NP_001002915.2	50
NP_001002916.3	91
NP_001002917.1	130
NP_001002918.1	112
NP_001002919.2	30
NP_001002920.1	206
NP_001002923.1	48
NP_001002924.2	28
NP_001002925.1	118
NP_001002926.1	113
NP_001003.1	27
NP_001003395.1	46
NP_001003396.1	36
NP_001003397.1	33
NP_001003398.1	218
NP_001003406.1	389
NP_001003407.1	210
NP_001003408.1	229
NP_001003443.2	113
NP_001003652.1	54
NP_001003674.1	92
NP_001003675.1	85
NP_001003676.1	121
NP_001003677.1	134
NP_001003678.1	140
NP_001003679.1	247
NP_001003680.1	248
NP_001003681.1	163
NP_001003682.1	84
NP_001003683.1	150
NP_001003684.1	36
NP_001003688.1	84
NP_001003690.1	94
NP_001003692.1	64
NP_001003693.1	122
NP_001003694.1	306
NP_001003696.1	30
NP_001003697.1	30
NP_001003698.1	732
NP_001003699.1	745
NP_001003700.1	653
NP_001003701.1	32
NP_001003702.2	34
NP_001003703.1	30
NP_001003704.1	35
NP_001003712.1	181
NP_001003713.1	43
NP_001003714.1	38
NP_001003715.1	145
NP_001003716.1	136
NP_001003722.1	220
NP_001003745.1	150
NP_001003750.1	152
NP_001003760.2	229
NP_001003785.1	32
NP_001003786.1	106
NP_001003787.1	120
NP_001003788.1	103
NP_001003789.1	25
NP_001003790.1	27
NP_001003791.1	27
NP_001003792.1	103
NP_001003793.1	110
NP_001003794.1	89
NP_001003795.1	25
NP_001003796.1	8
NP_001003800.1	281
NP_001003801.1	83
NP_001003802.1	91
NP_001003803.1	81
NP_001003805.1	57
NP_001003809.1	134
NP_001003810.1	30
NP_001003811.1	130
NP_001003818.1	218
NP_001003827.1	181
NP_001003828.1	166
NP_001003841.1	280
NP_001003845.1	113
NP_001003891.1	203
NP_001003892.1	101
NP_001003897.1	38
NP_001003927.1	110
NP_001003931.3	237
NP_001003936.1	46
NP_001003937.2	229
NP_001003938.1	56
NP_001003940.1	64
NP_001003941.1	101
NP_001003942.1	57
NP_001003943.1	42
NP_001003945.1	123
NP_001003954.1	160
NP_001003962.1	76
NP_001004.2	23
NP_001004019.1	454
NP_001004023.1	199
NP_001004051.1	175
NP_001004052.1	151
NP_001004055.1	82
NP_001004056.1	220
NP_001004057.1	212
NP_001004058.2	146
NP_001004059.2	134
NP_001004060.1	23
NP_001004063.2	206
NP_001004064.1	148
NP_001004065.2	364
NP_001004067.1	13
NP_001004105.1	140
NP_001004106.1	146
NP_001004124.1	129
NP_001004125.1	64
NP_001004127.2	178
NP_001004128.1	227
NP_001004134.1	146
NP_001004135.1	126
NP_001004136.1	40
NP_001004137.1	208
NP_001004195.2	5
NP_001004196.2	89
NP_001004297.2	182
NP_001004298.2	316
NP_001004301.2	268
NP_001004303.3	284
NP_001004304.1	53
NP_001004306.1	125
NP_001004308.2	96
NP_001004309.2	217
NP_001004310.2	209
NP_001004311.2	52
NP_001004312.2	117
NP_001004313.1	48
NP_001004317.1	55
NP_001004318.2	177
NP_001004319.1	64
NP_001004320.1	246
NP_001004323.1	83
NP_001004325.1	79
NP_001004326.4	133
NP_001004328.1	25
NP_001004329.2	112
NP_001004330.1	140
NP_001004333.2	45
NP_001004334.3	895
NP_001004339.2	97
NP_001004340.2	12
NP_001004341.1	136
NP_001004342.3	180
NP_001004343.1	49
NP_001004351.3	74
NP_001004354.1	9
NP_001004356.1	252
